Season,Name,Tm,G,TBF,ERA,H,2B,3B,R,ER,HR,BB,IBB,HBP,SO,AVG,OBP,SLG,wOBA,playerId
"Total","John Brebbia","2 Tms",3,1,81.00000081,0,0,0,3,3,0,0,0,0,0,0,0,0,0,12777
"Total","Noe Ramirez","LAA",2,2,27.00000027,1,0,0,1,1,0,0,0,0,1,0.5,0.5,0.5,0.4397653639316559,12800
"Total","Matt Wisler","CIN",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12804
"Total","Andrew Kittredge","TBR",2,2,18,2,0,0,2,2,0,0,0,0,0,1,1,1,0.8810282647609711,12828
"Total","Shawn Armstrong","BAL",1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.8696072697639465,12857
"Total","Matt Barnes","BOS",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12863
"Total","Alex Claudio","2 Tms",2,3,0,1,0,0,0,0,0,0,0,0,1,0.333333333,0.333333333,0.333333333,0.29222293694814044,12890
"Total","Logan Verrett","NYM",1,1,27.00000027,0,0,0,1,1,0,0,0,0,0,0,0,0,0,12905
"Total","Archie Bradley","2 Tms",2,2,108.00000108,1,0,1,4,4,0,0,0,0,0,0.5,0.5,1.5,0.7844328880310059,12918
"Total","Gabriel Ynoa","BAL",3,2,13.50000014,0,0,0,1,1,0,0,0,0,0,0,0,0,0,12938
"Total","Andrew Chafin","ARI",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,12988
"Total","Colten Brewer","BOS",1,2,27,2,0,0,3,3,0,0,0,0,0,1,1,1,0.8696072697639465,12997
"Total","Robby Scott","BOS",1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13042
"Total","Wei-Yin Chen","MIA",1,1,18,1,0,0,2,2,0,0,0,0,0,1,1,1,0.8696072697639465,13071
"Total","Frank Garces","SDP",1,1,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0.8808238506317139,13144
"Total","Adalberto Mejia","MIN",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13188
"Total","Joe Biagini","TOR",2,3,0,1,0,0,0,0,0,0,0,0,2,0.333333333,0.333333333,0.333333333,0.2898690899213155,13194
"Total","Danny Coulombe","OAK",2,3,18,0,0,0,2,2,0,1,0,0,0,0,0.333333333,0,0.23020400603612265,13293
"Total","James Pazos","2 Tms",2,1,27.00000027,0,0,0,1,1,0,0,0,0,0,0,0,0,0,13323
"Total","Luis Cessa","NYY",2,3,27.00000027,0,0,0,2,2,0,1,0,0,1,0,0.333333333,0,0.23009816805521646,13345
"Total","Cam Bedrosian","LAA",4,4,26.99999987,1,0,0,4,4,1,0,0,0,2,0.25,0.25,1,0.48488402366638184,13360
"Total","Paco Rodriguez","LAD",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13398
"Total","Angel Nesbitt","DET",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13415
"Total","Chris Beck","CHW",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13418
"Total","Pierce Johnson","3 Tms",3,3,6.75000002,0,0,0,1,1,0,0,0,0,1,0,0,0,0,13435
"Total","Taylor Rogers","SFG",1,1,18,0,0,0,2,2,0,1,0,0,0,0,1,0,0.6959028840065002,13449
"Total","Lucas Sims","2 Tms",2,3,13.50000014,0,0,0,1,1,0,1,0,0,0,0,0.333333333,0,0.22984319925308228,13470
"Total","Brandon Brennan","BOS",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13527
"Total","Steven Okert","MIA",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13580
"Total","Robert Stephenson","CIN",1,2,27.00000027,0,0,0,1,1,0,1,0,0,1,0,0.5,0,0.3464970290660858,13594
"Total","Jakob Junis","SFG",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13619
"Total","John Gant","STL",1,1,9,1,1,0,1,1,0,0,0,0,0,1,1,2,1.21666419506073,13684
"Total","Nick Goody","CLE",1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13685
"Total","Sal Romano","CIN",1,1,18,1,1,0,2,2,0,0,0,0,0,1,1,2,1.21666419506073,13690
"Total","Jake Faria","MIL",1,1,27.00000027,0,0,0,1,1,0,0,0,0,0,0,0,0,0,13699
"Total","Kyle Barraclough","MIA",2,3,18,1,0,0,2,2,0,0,0,0,0,0.5,0.333333333,0.5,0.2928180495897929,13713
"Total","Chris Stratton","PIT",2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,13761
"Total","Dominic Leone","2 Tms",2,2,13.50000014,0,0,0,1,1,0,0,0,0,0,0,0,0,0,13763
"Total","JT Chargois","SEA",2,1,27.00000027,0,0,0,1,1,0,0,0,0,0,0,0,0,0,13767
"Total","Daniel Stumpf","DET",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13780
"Total","Matt Strahm","SDP",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13799
"Total","Alec Mills","CHC",1,0,9,0,0,0,1,1,0,0,0,0,0,0,0,0,0,13834
"Total","Chris Flexen","NYM",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13896
"Total","Brent Suter","MIL",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13942
"Total","Miguel Almonte","LAA",1,2,36,2,1,0,4,4,0,0,0,0,0,1,1,1.5,1.0634028017520905,14139
"Total","Chris Mazza","TBR",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14151
