Season,Name,Tm,IP,TBF,GB/FB,LD%,GB%,FB%,IFFB%,HR/FB,IFH%,BUH%,Pull%,Cent%,Oppo%,Soft%,Med%,Hard%,playerId
"Total","Erick Aybar","SDP",0.2,1,1,0,1,0,0,0,0,0,1,0,0,0,1,0,4082
"Total","Erik Cordier","MIA",0.2,2,0,0,0,1,0,0,0,0,0,1,0,0,1,0,4086
"Total","James Russell","2 Tms",4.1,21,1,0.285714285,0.357142857,0.357142857,0,0.2,0,0,0.42857143,0.5,0.07142857,0.07142857,0.57142857,0.35714286,4089
"Total","Luke Gregerson","2 Tms",22,87,2,0.207547169,0.528301886,0.264150943,0.071428571,0.285714285,0.035714285,0,0.48148148,0.37037037,0.14814815,0.14814815,0.62962963,0.22222222,4090
"Total","Carlos Villanueva","2 Tms",6.2,29,0.875,0.285714285,0.333333333,0.38095238,0.125,0.125,0,0,0.47619048,0.33333333,0.19047619,0.0952381,0.61904762,0.28571429,4138
"Total","Derek Holland","6 Tms",10.1,42,0.833333333,0.12,0.4,0.48,0.083333333,0.166666666,0,0,0.44,0.32,0.24,0.12,0.52,0.36,4141
"Total","Edward Paredes","LAD",1.2,6,0.333333333,0.333333333,0.166666666,0.5,0.333333333,0.333333333,0,0,0.83333333,0,0.16666667,0.16666667,0.33333333,0.5,4168
"Total","Rafael Dolis","TOR",6.2,23,0.857142857,0.071428571,0.428571428,0.5,0.285714285,0.142857142,0.166666666,0,0.57142857,0.21428571,0.21428571,0.21428571,0.35714286,0.42857143,4185
"Total","Shane Robinson","MIN",0.1,1,0,0,0,1,0,0,0,0,0,1,0,0,1,0,4249
"Total","David Huff","LAD",0.2,3,1,0.333333333,0.333333333,0.333333333,0,0,0,0,0.33333333,0,0.66666667,0.33333333,0.33333333,0.33333333,4257
"Total","David Hernandez","4 Tms",36.2,146,0.707317073,0.213483146,0.325842696,0.460674157,0.121951219,0.097560975,0.103448275,0,0.35955056,0.34831461,0.29213483,0.14606742,0.47191011,0.38202247,4259
"Total","Mark Melancon","5 Tms",17.1,80,3.2,0.275862068,0.551724137,0.172413793,0,0.2,0.15625,0,0.4137931,0.36206897,0.22413793,0.22413793,0.4137931,0.36206897,4264
