Season,Name,Tm,IP,TBF,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,FIP,xFIP,playerId
"Total","Jason Adam","TOR",0,0,0,0,0,0,0,0,0,0,0,0,1,3.214009475708008,3.214009475708008,11861
"Total","Michael Feliz","PIT",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.2140094757080084,3.2140094757080084,11903
"Total","David Rollins","SEA",0,1,0,0,0,0,0,0,0,1,1,1,0,3.13359375,3.13359375,11928
"Total","Matt Andriese","ARI",0,3,0,0,0,9,0,0,0,1,3,1,-3.125,16.187220525741576,5.176426407694817,12022
"Total","Brian Flynn","KCR",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.146560382843018,3.146560382843018,12027
"Total","Yimi Garcia","TOR",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.2550403594970705,3.2550403594970705,12095
"Total","Matt Stites","ARI",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.13359375,3.13359375,12165
"Total","Domingo Tapia","2 Tms",1.1,2,0,0,0,0,0,0,0,0,0,0,1,3.1412325620651247,3.1412325620651247,12178
"Total","Keith Hessler","ARI",0,1,0,0,0,9,0,0,0,1,1,0,1,16.13359375,4.609267790615559,12220
"Total","Dan Winkler","CHC",0.2,4,0,13.49999993,0,0,0,0.25,-0.25,0.5,2.99999999,0.33333333,1,7.670034099967041,7.670034099967041,12237
"Total","Evan Marshall","CHW",0.1,1,0,0,0,0,0,0,0,0,0,0,1,3.1700341224670407,8.46312055516437,12297
